shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio,parent
11933810B37215570160824,القصور,457.405,2272,419.027,84.3202,0.916096,0.184431,0,0.554615,23.8474,58.7738,0.128494,1.81057,0.00395835,15159.7,15159.7,6325.55,8834.15,0.417261,33.1428,0.0276409,0.940333,0.815005,6.35612,0.000726271,0.00130213,0.557758,El Kef
11933810B66585629816917,المزونة,1131.71,5527,917.431,187.669,0.810661,0.165991,0,0.56865,24.8672,148.765,0.131452,2.86246,0.00252933,25962.8,25860.1,10081.5,15778.6,0.389849,22.9413,0.0353363,0.930863,0.836753,5.86943,0.00159012,0.00223005,0.713043,Sidi Bouzid
11933810B82124432646139,العروسة,359.139,1796,361.121,72.1979,1.00552,0.20107,0,0.555361,30.5559,42.7833,0.119127,1.59945,0.00445356,21934.3,21934.3,10149,11785.3,0.462701,61.0748,0.0164637,0.948627,0.822477,6.79988,0.000625906,0.00188403,0.332217,Siliana
11933810B80183977842330,ماطر,562.76,2837,1975,391.575,3.5095,0.69616,0,1.28382,40.6213,204.271,0.36298,6.34276,0.0112708,51928.5,51928.2,37506.7,14421.4,0.722281,92.2747,0.0380331,0.839971,0.695201,3.69711,0.00342314,0.00446034,0.767461,Bizerte
11933810B43888701821775,الجم,284.331,1403,2866.07,580.849,10.0801,2.04282,1.00118,3.17038,57.4883,214.823,0.755539,9.12036,0.0320765,51930.6,51930.6,48216.4,3714.19,0.928478,182.641,0.0551905,0.674143,0.607784,2.52219,0.00496757,0.00446052,1.11367,Mahdia
11933810B93906060339366,القصر,280.483,1369,1991.49,408.027,7.1002,1.4547,0,2.02646,48.4662,115.766,0.412737,9.21972,0.0328708,51616.1,51616.1,44003.5,7612.65,0.852514,184.026,0.0385826,0.860221,0.555107,3.49816,0.00345171,0.00443351,0.778549,Gafsa
11933810B57127812574337,صفاقس الجنوبية,195.3,958,8154.1,1662.86,41.7517,8.51158,2.78685,28.8679,79.3445,179.411,0.918645,51.598,0.264199,123573,123573,122534,1039.24,0.99159,632.737,0.065986,0.625108,0.298767,1.33672,0.0141329,0.0106142,1.33151,Sfax
11933810B10905453653895,غزالة,405.915,2049,532.551,105.505,1.31198,0.259908,0,0.625546,23.2122,58.0438,0.142995,2.77377,0.00683339,26412.4,26412.2,8977.3,17434.9,0.339893,65.0689,0.0201629,0.939769,0.866443,5.43675,0.000923033,0.00226866,0.406862,Bizerte
11933810B38600373367169,سيدي عيش,442.084,2165,569.955,116.359,1.28925,0.263258,0,0.708481,25.0233,111.283,0.251723,1.22448,0.00276979,11735.4,11735.4,5965.41,5769.99,0.508326,26.5456,0.0485671,0.849429,0.812185,4.12865,0.000987863,0.001008,0.980023,Gafsa
11933810B46466927285708,الشبيكة,509.984,2527,2331.49,470.652,4.57168,0.92263,0.706336,1.95983,27.0882,300.383,0.589004,3.63154,0.00712088,40497.3,40497.3,31863.2,8634.03,0.7868,79.4089,0.0575714,0.656502,0.685543,1.93346,0.004041,0.00347847,1.16172,Kairouan
11933810B49203985770178,تطاوين الشمالية,2827.8,13530,4127.95,860.399,1.45978,0.305096,0,0.501377,57.5741,305.295,0.107962,18.1289,0.00641096,37992.5,34359,28009.1,6349.87,0.81519,13.4354,0.108652,0.964396,0.60109,7.76554,0.0071547,0.00326332,2.19246,Tataouine
11933810B42878076535883,رمادة,27497,130220,4272.44,903.112,0.155379,0.0328094,0,0,65.2375,476.099,0.0173146,10.9837,0.000399453,10563.5,3552.89,2670.39,882.5,0.751611,0.384169,0.404453,0.991793,0.883454,17.195,0.00740512,0.000907339,8.16136,Tataouine
